2022-05-20 19:05:221 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 19:05:259 INFO  LoginPage :34 - Enter usernameField: standard_user[[ChromeDriver: chrome on WINDOWS (f198666826b9d250512b9ac651beafc2)] -> id: user-name]
2022-05-20 19:05:337 INFO  LoginPage :39 - Enter passwordField: secret_sauce[[ChromeDriver: chrome on WINDOWS (f198666826b9d250512b9ac651beafc2)] -> id: password]
2022-05-20 19:05:478 INFO  LoginPage :44 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (f198666826b9d250512b9ac651beafc2)] -> id: login-button]
2022-05-20 19:05:601 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 19:05:43 INFO  LoginPage :34 - Enter usernameField: standard_user[[ChromeDriver: chrome on WINDOWS (fdb98245bca3c9de6154ac04af409bd5)] -> id: user-name]
2022-05-20 19:05:115 INFO  LoginPage :39 - Enter passwordField: secret_sauce[[ChromeDriver: chrome on WINDOWS (fdb98245bca3c9de6154ac04af409bd5)] -> id: password]
2022-05-20 19:05:259 INFO  LoginPage :44 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (fdb98245bca3c9de6154ac04af409bd5)] -> id: login-button]
2022-05-20 19:05:716 INFO  InventoryPage :44 - Selecting by: [[ChromeDriver: chrome on WINDOWS (fdb98245bca3c9de6154ac04af409bd5)] -> xpath: //select[@class='product_sort_container']]
2022-05-20 19:05:951 INFO  InventoryPage :54 - Adding Cheapest Product to cart: [[ChromeDriver: chrome on WINDOWS (fdb98245bca3c9de6154ac04af409bd5)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-20 19:05:105 INFO  InventoryPage :49 - Adding Costliest Product to cart: [[ChromeDriver: chrome on WINDOWS (fdb98245bca3c9de6154ac04af409bd5)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-20 19:05:202 INFO  InventoryPage :59 - Clicking on Shopping Cart: [[ChromeDriver: chrome on WINDOWS (fdb98245bca3c9de6154ac04af409bd5)] -> xpath: //a[@class='shopping_cart_link']]
